0	0	1701741755395057
0	1	1701741755446963
0	0	1701741755448244
1	1	1701741755449602
1	0	1701741755450370
0	1	1701741755452308
0	0	1701741755453085
0	1	1701741755505529
0	0	1701741755506800
1	1	1701741755508227
1	0	1701741755509112
0	1	1701741755510903
0	0	1701741755511747
0	1	1701741755564250
0	0	1701741755565548
1	1	1701741755566902
1	0	1701741755568053
0	1	1701741755569873
0	0	1701741755570640
0	1	1701741755624956
0	0	1701741755626160
1	1	1701741755627731
1	0	1701741755628685
0	1	1701741755630497
0	0	1701741755631270
0	1	1701741755682555
0	0	1701741755683831
1	1	1701741755685374
1	0	1701741755686343
0	1	1701741755688421
0	0	1701741755689265
0	1	1701741755741176
0	0	1701741755742384
1	1	1701741755743672
1	0	1701741755744489
0	1	1701741755746628
0	0	1701741755747573
0	1	1701741755800660
0	0	1701741755801794
1	1	1701741755803149
1	0	1701741755804030
0	1	1701741755805835
0	0	1701741755806627
0	0	1701741769914054
1	0	1701741769914758
0	1	1701741769994846
0	0	1701741770033458
1	1	1701741770033893
1	0	1701741770034985
0	1	1701741770035398
0	0	1701741770036562
0	1	1701741770091487
0	0	1701741770092820
1	1	1701741770093327
1	0	1701741770094407
0	1	1701741770094806
0	0	1701741770095919
0	1	1701741770146017
0	0	1701741770147148
1	1	1701741770147441
1	0	1701741770148323
0	1	1701741770148827
0	0	1701741770149912
0	1	1701741770202252
0	0	1701741770203410
1	1	1701741770203908
1	0	1701741770204823
0	1	1701741770205113
0	0	1701741770205912
0	1	1701741770258233
0	0	1701741770259424
1	1	1701741770259813
1	0	1701741770260619
0	1	1701741770260953
0	0	1701741770261763
0	1	1701741770314470
0	0	1701741770315671
1	1	1701741770316167
1	0	1701741770317188
0	1	1701741770317624
0	0	1701741770318473
0	1	1701741770371057
0	0	1701741770372068
1	1	1701741770372550
1	0	1701741770373491
0	1	1701741770373774
0	0	1701741770374589
0	1	1701741770426657
0	0	1701741770427821
1	1	1701741770428096
1	0	1701741770429008
0	1	1701741770429286
0	0	1701741770430188
0	1	1701741770480897
0	0	1701741770481984
1	1	1701741770482456
1	0	1701741770483672
0	1	1701741770484123
0	0	1701741770485052
0	1	1701741770538038
0	0	1701741770539226
1	1	1701741770539628
1	0	1701741770540618
0	1	1701741770540994
0	0	1701741770541947
0	1	1701741770591658
0	0	1701741770593007
1	1	1701741770593688
1	0	1701741770594797
0	1	1701741770595296
0	0	1701741770596413
0	1	1701741770647578
0	0	1701741770648756
1	1	1701741770649230
1	0	1701741770650218
0	1	1701741770650640
0	0	1701741770651610
0	1	1701741770701464
0	0	1701741770702761
1	1	1701741770703214
1	0	1701741770704288
0	1	1701741770704720
0	0	1701741770705836
0	1	1701741770756410
0	0	1701741770757504
1	1	1701741770757980
1	0	1701741770759020
0	1	1701741770759455
0	0	1701741770760428
0	1	1701741770809588
0	0	1701741770810758
1	1	1701741770811042
1	0	1701741770811927
0	1	1701741770812318
0	0	1701741770813202
0	1	1701741770863240
0	0	1701741770864436
1	1	1701741770864870
1	0	1701741770865967
0	1	1701741770866402
0	0	1701741770867394
0	1	1701741770917983
0	0	1701741770919217
1	1	1701741770919724
1	0	1701741770920850
0	1	1701741770921334
0	0	1701741770922336
0	1	1701741770972576
0	0	1701741770973807
1	1	1701741770974303
1	0	1701741770975531
0	1	1701741770975988
0	0	1701741770977060
0	1	1701741771027435
0	0	1701741771028598
1	1	1701741771029045
1	0	1701741771030068
0	1	1701741771030472
0	0	1701741771031503
0	1	1701741771082500
0	0	1701741771083732
1	1	1701741771084219
1	0	1701741771085266
0	1	1701741771085794
0	0	1701741771086740
0	1	1701741771136719
0	0	1701741771137740
1	1	1701741771138139
1	0	1701741771139014
0	1	1701741771139453
0	0	1701741771140301
0	1	1701741771194106
0	0	1701741771195242
1	1	1701741771195629
1	0	1701741771196637
0	1	1701741771196960
0	0	1701741771197844
0	1	1701741771248387
0	0	1701741771249533
1	1	1701741771250024
1	0	1701741771251171
0	1	1701741771251670
0	0	1701741771252760
0	1	1701741771303808
0	0	1701741771305090
1	1	1701741771305609
